id,img_name,author_id,exam_id,is_active,exam_dt,mode,exam_centre_id,grade,price,exam_duration
1001,nco-sof.png,1,1001,TRUE,2024-02-10,OFFLINE,1,G_2,100,35
1002,nco-sof.png,1,1001,TRUE,2024-02-15,OFFLINE,1,G_2,120,35
1003,nco-sof.png,2,1001,TRUE,2024-02-16,OFFLINE,4,G_3,100,35
1004,nco-sof.png,2,1001,TRUE,2024-02-16,OFFLINE,4,G_3,100,35
1005,nco-sof.png,1,1001,TRUE,2024-02-17,OFFLINE,5,G_4,100,35
1006,nco-sof.png,1,1001,TRUE,2024-02-20,OFFLINE,5,G_4,100,35
1007,nco-sof.png,3,1001,TRUE,2024-02-10,ONLINE,6,G_2,100,35
1008,nco-sof.png,1,1001,TRUE,2024-02-15,ONLINE,6,G_2,100,35
1009,nco-sof.png,4,1001,TRUE,2024-02-16,ONLINE,6,G_2,100,35
1010,nco-sof.png,1,1001,TRUE,2024-02-17,ONLINE,6,G_2,100,35
1011,nco-sof.png,1,1001,TRUE,2024-02-20,ONLINE,6,G_2,100,35
1012,marha.png,1,1014,TRUE,2024-02-10,OFFLINE,1,G_2,200,35
1013,marha.png,5,1014,TRUE,2024-02-15,OFFLINE,1,G_2,200,35
1014,marha.png,1,1014,TRUE,2024-02-16,OFFLINE,4,G_3,200,35
1015,marha.png,6,1014,TRUE,2024-02-17,OFFLINE,5,G_4,200,35
1016,marha.png,6,1014,TRUE,2024-02-20,OFFLINE,5,G_4,200,35
1017,marha.png,6,1014,TRUE,2024-02-10,ONLINE,6,G_2,200,35
1018,marha.png,1,1014,TRUE,2024-02-15,ONLINE,6,G_2,200,35
1019,marha.png,1,1014,TRUE,2024-02-16,ONLINE,6,G_2,200,35
1020,marha.png,4,1014,TRUE,2024-02-17,ONLINE,6,G_2,200,35
1021,marha.png,5,1014,TRUE,2024-02-20,ONLINE,6,G_2,200,35
1022,imo_sof.png,3,1003,TRUE,2024-02-15,OFFLINE,1,G_2,200,35
1023,imo_sof.png,3,1003,TRUE,2024-02-16,OFFLINE,4,G_3,200,35
1024,imo_sof.png,2,1003,TRUE,2024-02-16,OFFLINE,4,G_3,200,35
1025,imo_sof.png,2,1003,TRUE,2024-02-17,OFFLINE,5,G_4,200,35
1026,imo_sof.png,6,1003,TRUE,2024-02-20,OFFLINE,5,G_4,200,35
1027,imo_sof.png,5,1003,TRUE,2024-02-10,ONLINE,6,G_2,200,35
1028,imo_sof.png,4,1003,TRUE,2024-02-15,ONLINE,6,G_2,200,35
1029,imo_sof.png,1,1003,TRUE,2024-02-16,ONLINE,6,G_2,200,35
1030,imo_sof.png,3,1003,TRUE,2024-02-17,ONLINE,6,G_2,200,35
1031,imo_sof.png,2,1003,TRUE,2024-02-20,ONLINE,6,G_2,200,35
1032,nco-sof.png,1,1001,TRUE,2024-02-10,OFFLINE,1,G_3,100,35
1033,nco-sof.png,1,1001,TRUE,2024-02-15,OFFLINE,1,G_3,100,35
