id,img_name,author_id,exam_id,is_active,exam_dt,exam_time,mode,full_addr,city,short_addr,contact,grade,subjects
1001,nco-sof.png,1,1001,TRUE,2023-12-16,11:07:01,OFFLINE,VIBYOR school,Pune,Pune,+91 7930470434,G_2,COMPUTER
1002,nco-sof.png,1,1001,TRUE,2023-12-17,11:07:01,OFFLINE,VIBYOR school,Pune,Pune,+91 7930470434,G_2,COMPUTER
1003,nco-sof.png,1,1001,TRUE,2023-12-18,11:07:01,OFFLINE,VIBYOR school,Banglore,Banglore,+91 7930470434,G_3,COMPUTER
1004,nco-sof.png,1,1001,TRUE,2023-12-18,11:07:01,OFFLINE,VIBYOR school,Banglore,Banglore,+91 7930470434,G_3,COMPUTER
1005,nco-sof.png,1,1001,TRUE,2023-12-19,11:07:01,OFFLINE,VIBYOR school,Chennai,Chennai,+91 7930470434,G_4,COMPUTER
1006,nco-sof.png,1,1001,TRUE,2023-12-20,11:07:01,OFFLINE,VIBYOR school,Chennai,Chennai,+91 7930470434,G_4,COMPUTER
1007,nco-sof.png,1,1001,TRUE,2023-12-16,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,COMPUTER
1008,nco-sof.png,1,1001,TRUE,2023-12-17,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,COMPUTER
1009,nco-sof.png,1,1001,TRUE,2023-12-18,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,COMPUTER
1010,nco-sof.png,1,1001,TRUE,2023-12-19,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,COMPUTER
1011,nco-sof.png,1,1001,TRUE,2023-12-20,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,COMPUTER
1012,marha.png,1,1014,TRUE,2023-12-16,11:07:01,OFFLINE,VIBYOR school,Pune,Pune,+91 7930470434,G_2,MATHS
1013,marha.png,1,1014,TRUE,2023-12-17,11:07:01,OFFLINE,VIBYOR school,Pune,Pune,+91 7930470434,G_2,MATHS
1014,marha.png,1,1014,TRUE,2023-12-18,11:07:01,OFFLINE,VIBYOR school,Banglore,Banglore,+91 7930470434,G_3,MATHS
1015,marha.png,1,1014,TRUE,2023-12-19,11:07:01,OFFLINE,VIBYOR school,Chennai,Chennai,+91 7930470434,G_4,MATHS
1016,marha.png,1,1014,TRUE,2023-12-20,11:07:01,OFFLINE,VIBYOR school,Chennai,Chennai,+91 7930470434,G_4,MATHS
1017,marha.png,1,1014,TRUE,2023-12-16,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1018,marha.png,1,1014,TRUE,2023-12-17,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1019,marha.png,1,1014,TRUE,2023-12-18,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1020,marha.png,1,1014,TRUE,2023-12-19,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1021,marha.png,1,1014,TRUE,2023-12-20,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1022,imo_sof.png,1,1003,TRUE,2023-12-17,11:07:01,OFFLINE,VIBYOR school,Pune,Pune,+91 7930470434,G_2,MATHS
1023,imo_sof.png,1,1003,TRUE,2023-12-18,11:07:01,OFFLINE,VIBYOR school,Banglore,Banglore,+91 7930470434,G_3,MATHS
1024,imo_sof.png,1,1003,TRUE,2023-12-18,11:07:01,OFFLINE,VIBYOR school,Banglore,Banglore,+91 7930470434,G_3,MATHS
1025,imo_sof.png,1,1003,TRUE,2023-12-19,11:07:01,OFFLINE,VIBYOR school,Chennai,Chennai,+91 7930470434,G_4,MATHS
1026,imo_sof.png,1,1003,TRUE,2023-12-20,11:07:01,OFFLINE,VIBYOR school,Chennai,Chennai,+91 7930470434,G_4,MATHS
1027,imo_sof.png,1,1003,TRUE,2023-12-16,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1028,imo_sof.png,1,1003,TRUE,2023-12-17,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1029,imo_sof.png,1,1003,TRUE,2023-12-18,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1030,imo_sof.png,1,1003,TRUE,2023-12-19,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
1031,imo_sof.png,1,1003,TRUE,2023-12-20,11:07:01,ONLINE,(null),(null),(null),+91 7930470434,G_2,MATHS
